cnpj,endereco,matriz_filial,CEP,CNAE,cnae_2_split,numero,situacao_cadastral,nome_fantasia,UF,municipio,CNPJ_DAT_CON,CNPJ_DAT_CON_M,CNPJ_DAT_CON_Y,index,COD_ID,PN_CON,DIST,PAC,CTAT,SUB,CONJ,MUN,CEG_GD,LGRD,BRR,CLAS_SUB,TIP_CC,FAS_CON,GRU_TEN,TEN_FORN,GRU_TAR,SIT_ATIV,DAT_CON,CAR_INST,LIV,ARE_LOC,TIP_SIST,DEM_CONT,DEM_P_01,DEM_P_02,DEM_P_03,DEM_P_04,DEM_P_05,DEM_P_06,DEM_P_07,DEM_P_08,DEM_P_09,DEM_P_10,DEM_P_11,DEM_P_12,DEM_F_01,DEM_F_02,DEM_F_03,DEM_F_04,DEM_F_05,DEM_F_06,DEM_F_07,DEM_F_08,DEM_F_09,DEM_F_10,DEM_F_11,DEM_F_12,ENE_P_01,ENE_P_02,ENE_P_03,ENE_P_04,ENE_P_05,ENE_P_06,ENE_P_07,ENE_P_08,ENE_P_09,ENE_P_10,ENE_P_11,ENE_P_12,ENE_F_01,ENE_F_02,ENE_F_03,ENE_F_04,ENE_F_05,ENE_F_06,ENE_F_07,ENE_F_08,ENE_F_09,ENE_F_10,ENE_F_11,ENE_F_12,DIC_01,DIC_02,DIC_03,DIC_04,DIC_05,DIC_06,DIC_07,DIC_08,DIC_09,DIC_10,DIC_11,DIC_12,FIC_01,FIC_02,FIC_03,FIC_04,FIC_05,FIC_06,FIC_07,FIC_08,FIC_09,FIC_10,FIC_11,FIC_12,DESCR,POINT_X,POINT_Y,DAT_CON_M,DAT_CON_Y,cnae_secao,ENE_P_count,ENE_F_count
03825929000148,RODOVIA PE 60 SN,1,55590000,6810202,4921301,SN,Ativa,ALFA SERVICOS,PE,2443,2000-05-23,5,2000,1554,7023173713,10210311,43,10210311A-10000229,10000229,QBC,15660,2607208,,RO SUSAN CAVELL,ZONA INDUSTRIAL DE SUAPE,CO9,AT-3-Tipo7,ABC,AT,82,A3,AT,2016-08-03,129.6,0,NU,RD_INTERLIG,129.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-35.03213459,-8.36362824,8,2016,ATIVIDADES IMOBILIÁRIAS,0,0
05642709000104,ESTRADA DO TAPEREBA S/N,1,68945000,0724301,0710301,S/N,Ativa,,AP,0663,2003-04-28,4,2003,645,2119323,A166935,31,A121816,1192,LT1,14562,1600055,,ID ESTRADA DO TAPEREBA,CENTRO,IN,AT-Tipo1,ABCN,AT,82,A3,AT,2022-01-01,89936,0,NU,RD_INTERLIG,81760,64638,61992,61614,63630,51450,61320,81760,77280,61320,61320,78960,76720,66528,65646,65898,66780,55020,63840,81760,78400,63420,63000,81200,81760,6564684.1592,526567.71388,292845.69221,724661.89225,613345.08743,556148.32907,563499.78839,507939.76795,226918.46173,509435.20181,577810.63441,564357.53469,37277.84081,5330028.3861,3558727.3078,7592276.7377,6447242.9126,6143952.6709,5315282.7316,5787649.232,2265711.5383,5507046.7982,4927003.8456,4556702.4653,57.74916667,14.7525,25.72527778,24.5875,3.5,42.04138889,9.35361111,15.98055556,3.0975,9.68666667,11.65138889,11.60305556,5,4,4,6,1,4,4,4,2,3,4,5,0,-51.9751544,0.86024939,1,2022,INDÚSTRIAS EXTRATIVAS,12,12
10746559000119,FAZENDA BELA VISTA S/N,1,16940000,3511501,3512300,S/N,Ativa,CENI,SP,6765,2009-03-19,3,2009,897,36705152,2107925965,385,UIP012107925965,UIP01,,13452,3533205,UTE.AI.SP.030268-6,"RDV GAL EUCLIDES DE OLIVEIRA FIGUEIREDO, 0 CPFL BIOENERGIA -IPE",RURAL,CO1,AT-2,ABC,AT,94,A2,AT,2012-11-27,94.82,0,NU,RD_ISOLADA,800,793.16,1316.12,800,385.97,800,800,49.76,800,208.17,800,4.3,659.26,946.85,1674.49,1357.8,714.24,147.5,512.52,1035.33,6.87,644.19,5.64,11.28,1155.76,24127.0,18572.0,0.0,503.0,0.0,0.0,50.0,0.0,104.0,0.0,3.0,8048.0,209932.0,161852.0,2606.0,7268.0,446.0,542.0,4553.0,9.0,2227.0,23.0,48.0,61070.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-51.46724879,-21.16875458,11,2012,ELETRICIDADE E GÁS,7,12
07848632000400,RUA AUGUSTO FREDERICO MARKUS 570,2,95880000,1041400,1069400,570,Inapta,TEJEDOR LTDA UNIDADE INDUSTRIAL,RS,8653,2008-09-25,9,2008,51,3092034701,527-00009,396,1126778177,527,YGB,13189,4307807,,R AUGUSTO F MARKUS 1600 BL HS,MOINHOS DAS INDUSTRIAS,IN,A3-Tipo3,ABCN,AT,82,A3,AT,2018-05-01,0,1,UB,RD_INTERLIG,500,48,104,100,316,48,116,40,80,132,288,96,204,156,152,244,324,296,136,100,216,208,308,336,280,1563.0,2048.0,2424.0,9222.0,2221.0,2372.0,2042.0,2381.0,2694.0,5641.0,2174.0,2246.0,27940.0,28158.0,34157.0,65010.0,32269.0,28113.0,25655.0,43571.0,33295.0,48892.0,28736.0,29693.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-51.96965837,-29.47974376,5,2018,INDÚSTRIAS DE TRANSFORMAÇÃO,12,12
37187494000175,RUA LINDOLFO F. FAGUNDES 352,1,46430000,3511501,0161099,352,Ativa,COOPAF,BA,3533,2020-05-20,5,2020,260,7044707149,13219006,47,13219006A-10000390,10000390,CVV,14308,2911709,,RO BR 030,RURAL-GUANAMBI,IN,AT3Tipo1,ABC,AT,82,A3,AT,2018-08-20,14073,0,NU,RD_INTERLIG,14990,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-42.7391366,-14.15622182,8,2018,ELETRICIDADE E GÁS,0,0
61231478000206,ESTRADA BR 153 S N,2,86400000,1071600,1099603,S N,Ativa,USINA JACAREZINHO,PR,7629,1966-07-20,7,1966,1170,3030778524,47624819,69,2949914,462,YUJ,16729,4111803,,R LOGRADOURO RURAL 13,RURAL,IN,A2-Tipo1,ABCN,AT,82,A3,AT,2016-10-01,50,1,NU,RD_INTERLIG,1650,678,456,916,1394,1406,868,118,134,78,896,134,14,1098,935,1170,1442,1641,1372,717,129,90,1151,134,17,25150.3,16202.2,35364.0,34149.0,38914.0,10677.0,7027.0,7291.0,4038.3,8837.5,7034.3,7268.0,278252.8,226412.2,350084.0,311505.0,426777.0,96559.0,66373.0,66660.0,38289.3,81236.4,70821.1,73181.0,0,0,0,0,0,0,0,0,0,3.1546,0,2.0436,0,0,0,0,0,0,0,0,0,1,0,1,,-49.9406678,-23.09707539,10,2016,INDÚSTRIAS DE TRANSFORMAÇÃO,12,12
01597168002728,FAZENDA SANTO ANTONIO SN,2,79965000,0151201,,SN,Ativa,BERTIN LTDA,MS,9807,1998-03-20,3,1998,424,9001611,29766032,404,78683993739719969MT,74380668,910398,12847,5004601,,RODOVIA BR 163,RURAL,IN,AT-2-Tipo4,ABC,AT,94,A2,AT,2007-01-05,3036,1,NU,RD_INTERLIG,12800,6071.15,6210.7,6301.01,6223.21,5940.12,6064.67,5712.74,5677.41,5885.51,5914.26,5972.1,6057.59,6210.3,6331.82,6324.07,6275.68,6062.09,6236.33,5965.98,6059.6,6119.68,6053.75,6103.3,6190.3,352372.0,338279.0,385283.0,321464.0,326384.0,318109.0,333019.0,355603.0,321450.0,296441.0,315542.0,341329.43,3054225.0,2816897.0,3240184.0,3056304.0,2600875.0,2605515.0,2852306.0,2820246.0,2875339.0,2645745.0,2820729.0,2876866.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-54.19114545,-23.51006794,1,2007,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",12,12
53689770000150,AVENIDA RAIMUNDO PEREIRA DE MAGALHAES 2300,1,05145000,4781400,1411801,2300,Ativa,,SP,7107,2024-01-29,1,2024,825,0202239467,357660006,390,32442547739926065H,RACSHTP2,TIEP,12833,3550308,,AV RAIMUNDO PEREIRA DE MAGALHAES,JARDIM IRIS,CO1,,ABCN,AT,84,A2,AT,2017-04-06,300,1,UB,RD_INTERLIG,420,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,210,7559.66,7149.54,6634.94,7627.22,6083.28,6177.18,6177.18,5479.62,4686.01,3821.19,5133.81,4372.27,49478.31,43134.71,43510.0,48129.85,40122.71,36257.87,36257.87,32527.39,25991.79,23470.59,32412.82,29008.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-46.69391217,-23.63575924,4,2017,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,12,12
43115902000267,RODOVIA PA 481 KM 11 S/N,2,68445000,4930202,4622200,S/N,Ativa,ATLANTIC LOGISTICA,PA,0425,2022-05-16,5,2022,455,105848463,A117861,371,A113342,1255,LHV,16687,1501303,,R. VERDE E BRANCO,ITUPANEMA,CO2,A2-Tipo1,ABCN,AT,82,A3,AT,2018-11-01,3270.96,1,NU,RD_INTERLIG,5240,2646,2797.03,2822.32,2755.2,2637.6,2805.6,2906.4,2822.4,2452.8,2654.4,2637.6,2671.2,2646,2822.65,2772,2872.8,2940,2940,2973.6,2872.8,2788.8,2906.4,2772,2688,49726.59,74459.99,86803.58,80736.6,88691.4,105798.0,108880.8,118452.6,75835.2,70098.0,79518.6,84789.6,497182.46,867149.58,935948.92,1044934.8,1061823.0,1105561.8,1182774.6,1115167.2,919879.8,925444.8,831091.8,888182.4,0,0,0,0,0,0,0,0,0,3.5,0,1.97,0,0,0,0,0,0,0,0,0,1,0,1,HIDROVIAS DO BRASIL VILA DO CONDE S A,-48.71211899,-1.51165125,11,2018,"TRANSPORTE, ARMAZENAGEM E CORREIO",12,12
48922364001046,RODOVIA ITAQUIRAI / NAVIRAI S/N,2,79965000,0151201,0111302,S/N,Ativa,FAZENDA DALLAS,MS,9807,2023-01-09,1,2023,424,9001611,29766032,404,78683993739719969MT,74380668,910398,12847,5004601,,RODOVIA BR 163,RURAL,IN,AT-2-Tipo4,ABC,AT,94,A2,AT,2007-01-05,3036,1,NU,RD_INTERLIG,12800,6071.15,6210.7,6301.01,6223.21,5940.12,6064.67,5712.74,5677.41,5885.51,5914.26,5972.1,6057.59,6210.3,6331.82,6324.07,6275.68,6062.09,6236.33,5965.98,6059.6,6119.68,6053.75,6103.3,6190.3,352372.0,338279.0,385283.0,321464.0,326384.0,318109.0,333019.0,355603.0,321450.0,296441.0,315542.0,341329.43,3054225.0,2816897.0,3240184.0,3056304.0,2600875.0,2605515.0,2852306.0,2820246.0,2875339.0,2645745.0,2820729.0,2876866.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-54.19114545,-23.51006794,1,2007,"AGRICULTURA, PECUÁRIA, PRODUÇÃO FLORESTAL, PESCA E AQÜICULTURA",12,12
29337589000108,FAZENDA ROCA DE DENTRO S/N,1,47600000,3511501,,S/N,Ativa,,BA,3377,2017-12-29,12,2017,216,7043159385,9792263,47,9792263A-23,23,IGP,14260,2903904,,RO BR 430 B J LAPA RIACHO DE SANTANA,RURAL-BOM JESUS DA LAPA,CO9,AT3Tipo1,ABC,AT,82,A3,AT,2018-05-03,19860,0,NU,RD_INTERLIG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-43.3534891,-13.30744908,5,2018,ELETRICIDADE E GÁS,0,0
20860533000150,RUA FERNANDO KOZICKI 672,1,93700000,3299099,4789099,672,Ativa,,RS,8577,2014-08-18,8,2014,88,3092251875,522-RM01-00999,396,1295008940,522,YSY,15779,4303905,,AV ARNILDO PAZ 480 BL HS,DOS GRINGOS,IN,A3-Tipo3,ABCN,AT,82,A3,AT,2018-05-01,0,1,UB,RD_INTERLIG,4500,4392,4332,4248,4252,4236,4132,4192,4056,4212,4056,4084,4052,4476,4476,4360,4428,4376,4196,4228,4152,4236,4108,4208,4400,250622.0,237504.0,276316.0,239300.0,253062.0,253284.0,263355.0,256888.0,252854.0,234784.0,231459.0,239174.0,2815947.0,2543214.0,2719529.0,2606821.0,2712084.0,2615795.0,2681195.0,2588799.0,2624085.0,2649650.0,2537440.0,2622021.0,0,0,0,0,5.3458,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,-51.06493955,-29.68927274,5,2018,INDÚSTRIAS DE TRANSFORMAÇÃO,12,12
47960950089351,AVENIDA ORLANDA BERGAMO 0,2,07232151,4713004,7490104,0,Ativa,MAGAZINE LUIZA S/A,SP,6477,2012-11-22,11,2012,1209,151226961,ETC-RECG,391,AT320659486ID,NOR-NOD1T2,ETC-RECG,16651,3518800,,RUA ORLANDA BERGAMO99999,CID IND SATELITE SAO PAULO,CO1,AT-2-TIPO1,ABCN,AT,84,A2,AT,2022-04-07,1400,0,UB,RD_INTERLIG,1400,0,0,0,266.56,319.2,308,322,327.6,327.6,358.4,375.2,358.4,0,0,0,253.12,313.6,305.2,313.6,313.6,313.6,372.4,378,372.4,0.0,0.0,0.0,10585.204,16563.596,15531.376,15990.219,17064.152,16245.446,16505.622,16941.841,18583.495,0.0,0.0,0.0,97371.575,140270.214,141956.409,138540.185,141834.805,145624.325,155605.044,168324.681,173709.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A003931833,-46.45357752,-23.46806115,4,2022,COMÉRCIO; REPARAÇÃO DE VEÍCULOS AUTOMOTORES E MOTOCICLETAS,9,9
